time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-24T05:14:38.460Z,35.9398333,-117.3246667,2.58,1.52,ml,15,178,0.05921,0.12,ci,ci39921631,2022-01-24T05:18:18.174Z,"20km NNE of Trona, CA",earthquake,0.44,0.6,0.136,16,automatic,ci,ci
2022-01-24T05:05:38.643Z,62.0209,-151.7654,86.3,2,ml,,,,0.7,ak,ak02213rwnff,2022-01-24T05:25:20.750Z,"19 km W of Skwentna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-01-24T04:45:25.580Z,18.3285,-68.8113,143,3.98,md,19,258,0.4682,0.14,pr,pr2022024002,2022-01-24T05:43:23.882Z,"18 km SW of San Rafael del Yuma, Dominican Republic",earthquake,14.33,1.74,0.02,4,reviewed,pr,pr
2022-01-24T04:41:36.473Z,59.6393,-152.4519,78,1.5,ml,,,,0.37,ak,ak02213rixfz,2022-01-24T04:46:45.892Z,"38 km WSW of Anchor Point, Alaska",earthquake,,1.2,,,automatic,ak,ak
2022-01-24T04:37:46.750Z,38.8023338,-122.8115005,4.42,1.8,md,8,105,0.01385,0.07,nc,nc73682361,2022-01-24T05:10:11.041Z,"6km WNW of The Geysers, CA",earthquake,0.47,0.68,0.1,9,automatic,nc,nc
2022-01-24T04:36:11.749Z,37.0166,-114.433,14,2,ml,18,138.85,0.426,0.2198,nn,nn00832312,2022-01-24T04:39:55.568Z,"38 km NW of Bunkerville, Nevada",earthquake,,0.7,0.52,13,automatic,nn,nn
2022-01-24T04:29:03.761Z,60.3214,-136.9349,6,3.3,ml,,,,1.09,ak,ak02213rga8s,2022-01-24T05:10:20.502Z,"57 km SSE of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2022-01-24T04:24:16.873Z,64.8591,-148.9768,21.8,1.6,ml,,,,0.55,ak,ak02213rf8rb,2022-01-24T04:28:53.335Z,"Central Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-01-24T04:21:48.565Z,61.5579,-146.5373,2.2,1.9,ml,,,,0.68,ak,ak02213reo4w,2022-01-24T04:35:14.218Z,"48 km NNW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-01-24T03:54:42.320Z,35.2435,-120.3073333,0.54,1.19,ml,17,99,0.1207,0.29,ci,ci39921599,2022-01-24T03:58:18.053Z,"27km NE of Nipomo, CA",earthquake,0.58,31.61,0.138,16,automatic,ci,ci
